iter	Passed	Remaining
0	121	12055
1	129	6358
2	138	4478
3	148	3557
4	154	2938
5	165	2589
6	175	2333
7	184	2123
8	196	1981
9	206	1857
10	212	1722
11	223	1638
12	230	1542
13	241	1485
14	251	1425
15	262	1378
16	272	1332
17	283	1290
18	293	1252
19	303	1215
20	313	1179
21	323	1147
22	333	1115
23	343	1087
24	352	1058
25	362	1031
26	373	1008
27	383	985
28	393	963
29	403	942
30	410	912
31	419	891
32	428	869
33	437	849
34	446	828
35	455	809
36	463	789
37	473	772
38	481	753
39	491	737
40	500	720
41	510	704
42	520	689
43	528	673
44	538	658
45	547	643
46	554	625
47	563	610
48	575	598
49	585	585
50	594	571
51	605	558
52	614	545
53	625	532
54	635	520
55	644	506
56	654	493
57	664	481
58	673	468
59	683	455
60	692	442
61	703	431
62	713	419
63	723	406
64	733	394
65	741	382
66	751	370
67	761	358
68	772	347
69	783	335
70	793	324
71	803	312
72	813	301
73	823	289
74	833	277
75	844	266
76	853	254
77	863	243
78	872	231
79	882	220
80	891	209
81	901	197
82	910	186
83	920	175
84	930	164
85	940	153
86	950	141
87	960	130
88	969	119
89	980	108
90	989	97
91	999	86
92	1009	75
93	1018	65
94	1028	54
95	1037	43
96	1048	32
97	1058	21
98	1067	10
99	1077	0
